Addis Ababa,012 XXX XXXX
Arada,011 111 XXXX
Arada II,011 112 XXXX
French Legation,011 114 XXXX
Sidist Kilo,011 122 XXXX
Sidist Kilo II,011 123 XXXX
Sidist Kilo III,011 124 XXXX
Sidist Kilo Rss,011 125 XXXX
Addisu Gebeya,011 127 XXXX
Kuyu,011 131 XXXX
Alem Ketema,011 132 0XXX
Deber Tsige,011 133 0XXX
Muke Turi,011 134 0XXX
Fitche,011 135 XXXX
Arada III,011 155 XXXX
Arada IV,011 156 XXXX
Arada V,011 157 XXXX
Arada VI,011 158 XXXX
Sululta,011 186 0XXX
Goha Tsion,011 187 XXXX
Chancho,011 188 XXXX
Addis Ketema,011 213 XXXX
Hagere Hiwot,011 236 XXXX
Holeta Gent,011 237 XXXX
Jeldu,011 238 XXXX
Ginchi,011 258 0XXX
Shegole,011 259 XXXX
Asko,011 270 XXXX
Addis Ketema II,011 275 XXXX
Addis Ketema III,011 276 XXXX
Addis Ketema IV,011 277 XXXX
Addis Ketema VI,011 278 XXXX
Kolfe,011 279 XXXX
Guder,011 282 0XXX
Addis Alem,011 283 XXXX
Burayu,011 284 XXXX
Wolenkomi,011 285 0XXX
Enchini,011 286 0XXX
Old Airport,011 320 XXXX
Mekanisa,011 321 XXXX
Wolkite,011 330 XXXX
Endibir,011 331 0XXX
Gunchire,011 332 0XXX
Sebeta,011 338 0XXX
Teji,011 339 0XXX
Ghion,011 341 XXXX
Tullu Bollo,011 342 0XXX
Jimmaber (Ayer Tena),011 348 XXXX
Keranyo,011 349 XXXX
Old Airport II,011 371 XXXX
Old Airport III,011 372 XXXX
Old Airport IV,011 373 XXXX
Old Airport V,011 374 XXXX
Alem Gena,011 387 0XXX
Keira,011 416 XXXX
Hana Mariam,011 419 XXXX
Dukem,011 432 XXXX
Debre Zeit,011 433 XXXX
Akaki,011 434 XXXX
Kaliti,011 439 XXXX
Nifas Silk III,011 440 XXXX
Nifas Silk,011 442 XXXX
Nifas Silk II,011 443 XXXX
Keria II,011 465 XXXX
Keria III,011 466 XXXX
