Addis Ababa,3434000,Addis Ababa
Gonder,360600,Amhara
Mekele,358529,Tigray
Adama,355475,Oromia
Awassa,335508,Southern Nations Nationalities and People (SNNPR)
Bahir Dar,313997,Amhara
Dire Dawa,293000,Dire Dawa
Dessie,209226,Amhara
Jimma,195228,Oromia
Jigiga,169390,Somalia
Shashamane,162127,Oromia
Wolaita Sodo,161450,Southern Nations Nationalities and People (SNNPR)
Debre Zeit,161354,Oromia
Arba Minch,159019,Southern Nations Nationalities and People (SNNPR)
Hosaena,148847,Southern Nations Nationalities and People (SNNPR)
Harar,137000,Harari
Dilla,125599,Southern Nations Nationalities and People (SNNPR)
Nekemte,121385,Oromia
Debre Birehan,113693,Amhara
Debre Markos,108882,Amhara
Assela,108571,Oromia
Kombolcha,102244,Amhara
Debre Tabour,96973,Amhara
Adigrat,95353,Tigray
Arsi Negele,83187,Oromia
Weldiya,80484,Amhara
Sebeta,79633,Oromia
Burayu,78902,Oromia
Shire,78366,Tigray
Ambo,77735,Oromia
Gambela,74102,Gambela
Aksum,74007,Tigray
Mizan Teferi,72324,Southern Nations Nationalities and People (SNNPR)
Bale Robe,71625,Oromia
Butajira,71045,Southern Nations Nationalities and People (SNNPR)
Ziway,70436,Oromia
Areka,66815,Southern Nations Nationalities and People (SNNPR)
Yirga Alem,64507,Southern Nations Nationalities and People (SNNPR)
Modjo,62592,Oromia
Welkite,61309,Southern Nations Nationalities and People (SNNPR)
Woliso,61140,Oromia
Meki,58490,Oromia
Godie,58127,Somalia
Kobo,57789,Amhara
Alaba Kulito,57076,Southern Nations Nationalities and People (SNNPR)
Negele Borena,56897,Oromia
Alemata,55153,Tigray
Adwa,54402,Tigray
Asebe Teferi,54307,Oromia
Tepi,52719,Southern Nations Nationalities and People (SNNPR)
Assosa,52575,Benishangul-Gumuz
Durame,52084,Southern Nations Nationalities and People (SNNPR)
Metema,51840,Amhara
Hagere Mariam,51836,Oromia
Goba,51715,Oromia
Boditi,51324,Southern Nations Nationalities and People (SNNPR)
Dolo,50294,Somalia
Wikro,50080,Tigray
Hadero,50080,Southern Nations Nationalities and People (SNNPR)
Azezo,50000,Amhara
Alemaya,50000,Oromia
Gimbi,50000,Oromia
Wondo Genet,49053,Southern Nations Nationalities and People (SNNPR)
Sawla,48277,Southern Nations Nationalities and People (SNNPR)
Wendo,46905,Southern Nations Nationalities and People (SNNPR)
Metu,46456,Oromia
Dembi Dolo,45519,Oromia
Bure,45308,Amhara
Finote Selam,45215,Amhara
Moyale,44459,Oromia
Fitche,44400,Oromia
Bonga,44329,Southern Nations Nationalities and People (SNNPR)
Jinka,43000,Southern Nations Nationalities and People (SNNPR)
Agaro,41085,Oromia
Motta,41000,Amhara
Gelemso,40701,Oromia
Degeh Bur,40386,Somalia
Chuko,40000,Southern Nations Nationalities and People (SNNPR)
Nedjo,39546,Oromia
Kebribeyah,39315,Somalia
Sekota,38937,Amhara
Dangla,38900,Amhara
Maychew,38839,Tigray
Bekoji,37675,Oromia
Holeta Gent,37606,Oromia
Kibre Mengist,37016,Oromia
Shakiso,37000,Oromia
Backo,36873,Oromia
Gorgora,36498,Amhara
Chagni,36400,Amhara
Debark,36244,Amhara
Humera,36074,Tigray
Deder,35828,Oromia
Dodolla,35000,Oromia
Kemise,33887,Amhara
Shinshicho,33714,Southern Nations Nationalities and People (SNNPR)
Asasa,33354,Oromia
Wereta,33200,Amhara
Shone,33174,Southern Nations Nationalities and People (SNNPR)
Metehara,33118,Oromia
Injibara,33000,Amhara
Ginchi,33000,Oromia
Ginir,32592,Oromia
Yirga Chefe,32134,Southern Nations Nationalities and People (SNNPR)
Gebre Guracha,32076,Oromia
Bedele,31500,Oromia
Denbecha,31243,Amhara
Dera,30882,Oromia
Nefas Mewcha,30700,Amhara
Robe,30411,Oromia
Adet,30000,Amhara
Asayita,29963,Afar
Bedesa,29340,Oromia
Mer Awi,29300,Amhara
Bati,29084,Amhara
Babile,28590,Oromia
Chencha,28325,Southern Nations Nationalities and People (SNNPR)
Shiraro,28287,Tigray
Gidole,28070,Southern Nations Nationalities and People (SNNPR)
Korem,27900,Tigray
Dabat,27510,Amhara
Shewa Robit,27500,Amhara
Tis Abay,27200,Amhara
Lalibela,27200,Amhara
Abi Adi,26759,Tigray
Leku,26000,Southern Nations Nationalities and People (SNNPR)
Iteya,25894,Oromia
Yebelo,25725,Oromia
Bichena,25400,Amhara
Addis Zemen,25300,Amhara
Mersa,25300,Amhara
Welenchiti,25000,Oromia
Kofele,24918,Oromia
Awash,24700,Afar
Dupti,24500,Afar
Shambu,24196,Oromia
Ayikel,23600,Amhara
Tulu Bolo,23366,Oromia
Logia,23300,Afar
Wonji,23000,Oromia
Mendi,22608,Oromia
Guder,22352,Oromia
Derwernache,22225,Somalia
Gutin,22000,Oromia
Mekane Yesus,21800,Amhara
Abomsa,21500,Oromia
Huruta,21435,Oromia
Guracha Jeldu,21160,Oromia
Hartisheik,21000,Somalia
Tog Wajale,21000,Somalia
Mehoni,20700,Tigray
Sokoru,20536,Oromia
Mieso,20000,Oromia
Konso,19982,Southern Nations Nationalities and People (SNNPR)
Were Ilu,19964,Amhara
Sendafa,19844,Oromia
May Cadera,19300,Tigray
Hirna,19282,Oromia
Addi Arkay,18082,Amhara
Ginde Beret,16276,Oromia
Addis Alem,16255,Oromia
Awubere,16000,Somalia
Imi,15329,Somalia
Debre Sina,15208,Amhara
Dejen,15158,Amhara
Gore,14604,Oromia
Debre Work,13908,Amhara
Hagere Selam,13595,Southern Nations Nationalities and People (SNNPR)
Gewana,13000,Somalia
Werder,12386,Somalia
Sire,12317,Oromia
Dukem,10769,Oromia
Seka Chekorsa,10342,Oromia
Mega,9899,Oromia
Ankober,7664,Amhara
Shek Hussein,1000,Oromia
Amanuel,1000,Amhara
Tinsae Berhan,1000,Oromia
Langano,1000,Oromia
Erta Ale,100,Pofadder
Dollo,36498,Amhara
Welkite,61309,Southern Nations Nationalities and People (SNNPR)
