Aba,034 82X XXXX
Abakaliki,034 43X XXXX
Abeokuta,034 39X XXXX
Abuja,034 9XX XXXX
Ado Ekiti,034 30X XXXX
Agbor,034 55X XXXX
Ahoada,034 86X XXXX
Akure,034 34X XXXX
Asaba,034 56X XXXX
Auchi,034 57X XXXX
Awka,034 48X XXXX
Azare,034 71X XXXX
Badagry,034 1XX XXXX
Bauchi,034 77X XXXX
Benin,034 52X XXXX
Birnin,034 68X XXXX
Calabar,034 87X XXXX
Damaturu,034 74X XXXX
Edo,034 52X XXXX
Enugu,034 42X XXXX
Gombe,034 72X XXXX
Gusau,034 63X XXXX
Hadejia,034 78X XXXX
Ibadan,034 2XX XXXX
Ijebu Ode,034 37X XXXX
Ikare,034 50X XXXX
Ile Ife,034 36X XXXX
Ilorin,034 31X XXXX
Jalingo,034 79X XXXX
Jos,034 73X XXXX
Kaduna,034 62X XXXX
Kafanchau,034 61X XXXX
Kano,034 64X XXXX
Kano Nigeria,034 64X XXXX
Katsina,034 65X XXXX
Kontagora,034 67X XXXX
Lafia,034 47X XXXX
Lagos,034 1XX XXXX
Lokoja,034 58X XXXX
Maiduguri,034 76X XXXX
Makurdi,034 44X XXXX
Minna,034 66X XXXX
New Bussa,034 33X XXXX
Niger Sate,034 66X XXXX
Ogoja,034 45X XXXX
Okitipupa,034 59X XXXX
Onitsha,034 46X XXXX
Oshogbo,034 35X XXXX
Owerri,034 83X XXXX
Owo,034 51X XXXX
Oyo,034 38X XXXX
Pank Shin,034 70X XXXX
Port Harcourt,034 84X XXXX
Sapele,034 54X XXXX
Sokobo,034 60X XXXX
Umuahia,034 88X XXXX
Uyo,034 85X XXXX
Warri,034 53X XXXX
Wukari,034 41X XXXX
Yenegoa,034 89X XXXX
Yola,034 75X XXXX
Zaria,034 69X XXXX
